Lr = 0.1,Test Loss: 591573966524306332241024899874816.0000 RMSE: 21389868068241408.0000 MAE: 10145709990871040.0000 MAPE: 2616552763424768.0000
Lr = 0.01,Test Loss: 49.0318 RMSE: 6.8811 MAE: 1.0864 MAPE: 0.9787
Lr = 0.005,Test Loss: 53.8285 RMSE: 7.0234 MAE: 1.1265 MAPE: 0.9620
Lr = 0.0045,Test Loss: 48.4263 RMSE: 6.8600 MAE: 1.0568 MAPE: 0.9464
Lr = 0.004,Test Loss: 52.2790 RMSE: 7.1943 MAE: 1.2103 MAPE: 1.0936
Lr = 0.0035,Test Loss: 51.2753 RMSE: 7.0491 MAE: 1.1122 MAPE: 0.9467
Lr = 0.003,Test Loss: 44.3889 RMSE: 6.5545 MAE: 1.0464 MAPE: 0.9127
Lr = 0.0025,Test Loss: 46.3050 RMSE: 6.7169 MAE: 1.0560 MAPE: 0.9784
Lr = 0.002,Test Loss: 42.2720 RMSE: 6.3684 MAE: 1.0467 MAPE: 0.9086
Lr = 0.0015,Test Loss: 40.6262 RMSE: 6.2105 MAE: 1.0483 MAPE: 0.9032
Lr = 0.001,Test Loss: 39.0514 RMSE: 6.1046 MAE: 0.9966 MAPE: 0.9032
Lr = 0.0005,Test Loss: 40.2135 RMSE: 6.1530 MAE: 1.0277 MAPE: 0.8757
Lr = 0.0002,Test Loss: 39.6646 RMSE: 6.1166 MAE: 0.9952 MAPE: 0.8811
Lr = 0.0001,Test Loss: 42.3146 RMSE: 6.3627 MAE: 1.0310 MAPE: 0.9333


Lr = 0.01,Test Loss: 74.6301 RMSE: 8.6388 MAE: 1.2940 MAPE: 0.9271
Lr = 0.005,Test Loss: 54.6644 RMSE: 7.3935 MAE: 1.0907 MAPE: 0.8047
Lr = 0.0045,Test Loss: 57.1566 RMSE: 7.5602 MAE: 1.1267 MAPE: 0.8474
Lr = 0.004,Test Loss: 62.9052 RMSE: 7.9313 MAE: 1.2238 MAPE: 0.9434
Lr = 0.0035,Test Loss: 61.5209 RMSE: 7.8435 MAE: 1.1131 MAPE: 0.8856
Lr = 0.003,Test Loss: 55.3555 RMSE: 7.4401 MAE: 1.0657 MAPE: 0.7815
Lr = 0.0025,Test Loss: 55.8762 RMSE: 7.4750 MAE: 1.1306 MAPE: 0.8631
Lr = 0.002,Test Loss: 54.8485 RMSE: 7.4060 MAE: 1.0777 MAPE: 0.8087
Lr = 0.0015,Test Loss: 54.5571 RMSE: 7.3863 MAE: 1.1399 MAPE: 0.8561
Lr = 0.001,Test Loss: 52.0410 RMSE: 7.2139 MAE: 1.0822 MAPE: 0.7922
Lr = 0.0005,Test Loss: 53.6175 RMSE: 7.3224 MAE: 1.0915 MAPE: 0.8089
Lr = 0.0002,Test Loss: 54.2365 RMSE: 7.3645 MAE: 1.0883 MAPE: 0.8131
Lr = 0.0001,Test Loss: 52.9350 RMSE: 7.2756 MAE: 1.0807 MAPE: 0.8269


Lr = 0.01,Test Loss: 49.0318 RMSE: 6.8811 MAE: 1.0864 MAPE: 0.9787
Lr = 0.005,Test Loss: 53.8285 RMSE: 7.0234 MAE: 1.1265 MAPE: 0.9620
