Lr = 0.1,Test Loss: 164.3492 RMSE: 12.6670 MAE: 2.3721 MAPE: 0.8216
Lr = 0.05,Test Loss: 164.5671 RMSE: 12.6769 MAE: 2.6207 MAPE: 0.8982
Lr = 0.045,Test Loss: 164.6135 RMSE: 12.6789 MAE: 2.6513 MAPE: 0.9123
Lr = 0.04,Test Loss: 164.6913 RMSE: 12.6822 MAE: 2.6915 MAPE: 0.9143
Lr = 0.035,Test Loss: 164.6924 RMSE: 12.6822 MAE: 2.6259 MAPE: 0.9440
Lr = 0.03,Test Loss: 164.5575 RMSE: 12.6765 MAE: 2.6139 MAPE: 0.9076
Lr = 0.025,Test Loss: 164.5631 RMSE: 12.6768 MAE: 2.6127 MAPE: 0.9092
Lr = 0.02,Test Loss: 164.7001 RMSE: 12.6826 MAE: 2.6753 MAPE: 0.9248
Lr = 0.015,Test Loss: 164.5067 RMSE: 12.6743 MAE: 2.5686 MAPE: 0.9011
Lr = 0.01,Test Loss: 164.6808 RMSE: 12.6818 MAE: 2.6478 MAPE: 0.9318
Lr = 0.005,Test Loss: 164.6437 RMSE: 12.6803 MAE: 2.6463 MAPE: 0.9151
Lr = 0.0045,Test Loss: 164.6166 RMSE: 12.6793 MAE: 2.6356 MAPE: 0.9085
Lr = 0.004,Test Loss: 164.5810 RMSE: 12.6778 MAE: 2.6224 MAPE: 0.9022
Lr = 0.0035,Test Loss: 164.5644 RMSE: 12.6771 MAE: 2.6098 MAPE: 0.8986
Lr = 0.003,Test Loss: 164.5767 RMSE: 12.6776 MAE: 2.6219 MAPE: 0.8972
Lr = 0.0025,Test Loss: 163.0263 RMSE: 12.6150 MAE: 2.4137 MAPE: 0.7954
Lr = 0.002,Test Loss: 75.4715 RMSE: 8.2875 MAE: 1.5447 MAPE: 1.0838
Lr = 0.0015,Test Loss: 63.3490 RMSE: 7.6555 MAE: 1.4203 MAPE: 1.1917
Lr = 0.001,Test Loss: 61.2636 RMSE: 7.4933 MAE: 1.3412 MAPE: 1.0859
Lr = 0.01,Test Loss: 164.6808 RMSE: 12.6818 MAE: 2.6478 MAPE: 0.9318
Lr = 0.005,Test Loss: 164.6437 RMSE: 12.6803 MAE: 2.6463 MAPE: 0.9151
Lr = 0.0045,Test Loss: 164.6166 RMSE: 12.6793 MAE: 2.6356 MAPE: 0.9085
Lr = 0.004,Test Loss: 164.5810 RMSE: 12.6778 MAE: 2.6224 MAPE: 0.9022
Lr = 0.0035,Test Loss: 164.5644 RMSE: 12.6771 MAE: 2.6098 MAPE: 0.8986
Lr = 0.003,Test Loss: 164.5767 RMSE: 12.6776 MAE: 2.6219 MAPE: 0.8972
Lr = 0.0025,Test Loss: 163.0263 RMSE: 12.6150 MAE: 2.4137 MAPE: 0.7954
Lr = 0.002,Test Loss: 75.4715 RMSE: 8.2875 MAE: 1.5447 MAPE: 1.0838
Lr = 0.0015,Test Loss: 63.3490 RMSE: 7.6555 MAE: 1.4203 MAPE: 1.1917
Lr = 0.001,Test Loss: 61.2636 RMSE: 7.4933 MAE: 1.3412 MAPE: 1.0859
Lr = 0.0005,Test Loss: 57.7311 RMSE: 7.2357 MAE: 1.3110 MAPE: 1.0009
Lr = 0.0002,Test Loss: 67.0558 RMSE: 7.7915 MAE: 1.3880 MAPE: 1.0835
Lr = 0.0001,Test Loss: 81.1964 RMSE: 8.5904 MAE: 1.4593 MAPE: 1.1406
Lr = 5e-05,Test Loss: 105.0636 RMSE: 9.8256 MAE: 1.5609 MAPE: 1.1511
Lr = 2e-05,Test Loss: 124.3688 RMSE: 10.8658 MAE: 1.6508 MAPE: 1.1334
Lr = 1e-05,Test Loss: 132.1305 RMSE: 11.2584 MAE: 1.6855 MAPE: 1.0954
Lr = 0.01,Test Loss: 164.6666 RMSE: 12.6809 MAE: 2.6504 MAPE: 0.9311
Lr = 0.005,Test Loss: 164.5424 RMSE: 12.6760 MAE: 2.6150 MAPE: 0.8920
Lr = 0.0045,Test Loss: 164.5594 RMSE: 12.6767 MAE: 2.6185 MAPE: 0.8979
Lr = 0.004,Test Loss: 164.0054 RMSE: 12.6534 MAE: 2.3769 MAPE: 0.8398
Lr = 0.0035,Test Loss: 164.5011 RMSE: 12.6741 MAE: 2.5826 MAPE: 0.8895
Lr = 0.003,Test Loss: 155.8960 RMSE: 12.3188 MAE: 2.3755 MAPE: 0.8942
Lr = 0.0025,Test Loss: 93.3884 RMSE: 9.1227 MAE: 1.6043 MAPE: 1.0721
Lr = 0.002,Test Loss: 77.9319 RMSE: 8.4211 MAE: 1.4530 MAPE: 1.0438
Lr = 0.0015,Test Loss: 60.3429 RMSE: 7.4195 MAE: 1.3978 MAPE: 1.0695
Lr = 0.001,Test Loss: 70.8860 RMSE: 7.8559 MAE: 1.3932 MAPE: 1.1008
Lr = 0.0005,Test Loss: 100.3866 RMSE: 9.2496 MAE: 1.4712 MAPE: 1.0733
Lr = 0.0002,Test Loss: 108.4550 RMSE: 9.7708 MAE: 1.5187 MAPE: 1.1278
Lr = 0.0001,Test Loss: 108.9153 RMSE: 9.8134 MAE: 1.6191 MAPE: 1.3078
Lr = 5e-05,Test Loss: 112.4464 RMSE: 10.1322 MAE: 1.6118 MAPE: 1.2670
Lr = 2e-05,Test Loss: 124.9323 RMSE: 10.8664 MAE: 1.6925 MAPE: 1.2951
Lr = 1e-05,Test Loss: 128.9442 RMSE: 11.0780 MAE: 1.7276 MAPE: 1.2874
Lr = 0.01,Test Loss: 164.6932 RMSE: 12.6823 MAE: 2.6473 MAPE: 0.9388
Lr = 0.005,Test Loss: 164.7921 RMSE: 12.6866 MAE: 2.6919 MAPE: 0.9465
Lr = 0.004,Test Loss: 164.7724 RMSE: 12.6857 MAE: 2.6975 MAPE: 0.9425
Lr = 0.003,Test Loss: 164.6914 RMSE: 12.6823 MAE: 2.6769 MAPE: 0.9239
Lr = 0.002,Test Loss: 154.5731 RMSE: 12.2341 MAE: 2.4641 MAPE: 1.0499
Lr = 0.001,Test Loss: 62.5025 RMSE: 7.6082 MAE: 1.3758 MAPE: 1.0873
Lr = 0.0005,Test Loss: 62.2490 RMSE: 7.5848 MAE: 1.4187 MAPE: 1.0821
Lr = 0.0002,Test Loss: 62.1595 RMSE: 7.5569 MAE: 1.3785 MAPE: 1.0572
Lr = 0.0001,Test Loss: 66.8306 RMSE: 7.8151 MAE: 1.4037 MAPE: 1.0722
Lr = 5e-05,Test Loss: 69.4666 RMSE: 7.9494 MAE: 1.4833 MAPE: 1.1803
Lr = 2e-05,Test Loss: 106.6463 RMSE: 9.8297 MAE: 1.5939 MAPE: 1.1604
Lr = 1e-05,Test Loss: 117.4818 RMSE: 10.4440 MAE: 1.6537 MAPE: 1.1599
Lr = 0.01,Test Loss: 164.6277 RMSE: 12.6796 MAE: 2.6517 MAPE: 0.9046
Lr = 0.005,Test Loss: 164.6191 RMSE: 12.6791 MAE: 2.5998 MAPE: 0.9275
Lr = 0.004,Test Loss: 164.7546 RMSE: 12.6851 MAE: 2.7024 MAPE: 0.9300
Lr = 0.003,Test Loss: 164.7180 RMSE: 12.6836 MAE: 2.6902 MAPE: 0.9221
Lr = 0.002,Test Loss: 85.9065 RMSE: 8.8426 MAE: 1.6296 MAPE: 1.0944
Lr = 0.001,Test Loss: 63.4893 RMSE: 7.6198 MAE: 1.3428 MAPE: 1.0997
Lr = 0.0005,Test Loss: 58.8442 RMSE: 7.2597 MAE: 1.3005 MAPE: 1.0447
Lr = 0.0004,Test Loss: 60.4817 RMSE: 7.3748 MAE: 1.3071 MAPE: 1.0490
Lr = 0.0003,Test Loss: 60.6308 RMSE: 7.3739 MAE: 1.3093 MAPE: 1.0644
Lr = 0.0002,Test Loss: 63.2504 RMSE: 7.5500 MAE: 1.3169 MAPE: 1.0609
Lr = 0.0001,Test Loss: 92.1575 RMSE: 9.0650 MAE: 1.4828 MAPE: 1.1506
Lr = 5e-05,Test Loss: 109.0767 RMSE: 9.9341 MAE: 1.5649 MAPE: 1.1816
Lr = 2e-05,Test Loss: 118.5885 RMSE: 10.5077 MAE: 1.6137 MAPE: 1.1817
Lr = 1e-05,Test Loss: 127.0385 RMSE: 10.9787 MAE: 1.6808 MAPE: 1.1806
Lr = 0.01,Test Loss: 164.8134 RMSE: 12.6874 MAE: 2.7263 MAPE: 0.9323
Lr = 0.005,Test Loss: 164.6079 RMSE: 12.6789 MAE: 2.6333 MAPE: 0.9074
Lr = 0.004,Test Loss: 164.5725 RMSE: 12.6774 MAE: 2.6240 MAPE: 0.8994
Lr = 0.003,Test Loss: 164.5082 RMSE: 12.6746 MAE: 2.5925 MAPE: 0.8869
Lr = 0.002,Test Loss: 88.5861 RMSE: 8.9265 MAE: 1.6293 MAPE: 1.0877
Lr = 0.001,Test Loss: 64.6053 RMSE: 7.7006 MAE: 1.4474 MAPE: 1.1568
Lr = 0.0005,Test Loss: 61.1391 RMSE: 7.3938 MAE: 1.3456 MAPE: 1.0704
Lr = 0.0004,Test Loss: 63.1148 RMSE: 7.5201 MAE: 1.3976 MAPE: 1.0893
Lr = 0.0003,Test Loss: 64.2407 RMSE: 7.5837 MAE: 1.3569 MAPE: 1.0977
Lr = 0.0002,Test Loss: 68.7607 RMSE: 7.8448 MAE: 1.3784 MAPE: 1.1332
Lr = 0.0001,Test Loss: 103.1374 RMSE: 9.4757 MAE: 1.5454 MAPE: 1.1939
Lr = 5e-05,Test Loss: 104.2945 RMSE: 9.5448 MAE: 1.5551 MAPE: 1.1891
Lr = 2e-05,Test Loss: 117.0678 RMSE: 10.3690 MAE: 1.6476 MAPE: 1.1998
Lr = 1e-05,Test Loss: 123.8497 RMSE: 10.7777 MAE: 1.7067 MAPE: 1.2191
Lr = 0.01,Test Loss: 164.4988 RMSE: 12.6740 MAE: 2.5626 MAPE: 0.9001
Lr = 0.005,Test Loss: 164.4653 RMSE: 12.6728 MAE: 2.5414 MAPE: 0.8825
Lr = 0.004,Test Loss: 164.5050 RMSE: 12.6745 MAE: 2.5764 MAPE: 0.8908
Lr = 0.003,Test Loss: 163.2912 RMSE: 12.6239 MAE: 2.2183 MAPE: 0.7889
