Epoch, Train Loss, Validation Loss
1, 107.4075, 46.0372
2, 44.1895, 42.6326
3, 42.6130, 42.1264
4, 42.5110, 42.0288
5, 42.3549, 41.8449
6, 42.3163, 42.1108
7, 41.9010, 41.0639
8, 41.3305, 40.7182
9, 40.0925, 38.7989
10, 39.2654, 38.5358
11, 39.2175, 38.4981
12, 36.6152, 34.6193
13, 35.2677, 34.0780
14, 33.9937, 32.3725
15, 33.1056, 32.8768
16, 32.5000, 31.2385
17, 32.0369, 31.0018
18, 32.7010, 31.9255
19, 32.2111, 30.2460
20, 30.9767, 30.4626
21, 30.6397, 30.1026
22, 30.5167, 29.3593
23, 30.2693, 29.3291
24, 29.8069, 28.9838
25, 29.9473, 28.8806
26, 30.7917, 29.4835
27, 29.5571, 28.5918
28, 29.5327, 28.8220
29, 29.0165, 28.0353
30, 28.8655, 27.8306
31, 28.5487, 27.9906
32, 29.5128, 27.8929
33, 28.3522, 27.4042
34, 28.9671, 27.0871
35, 27.8083, 26.9690
36, 27.2445, 27.2876
37, 27.0948, 25.8728
38, 26.8538, 26.0796
39, 26.9469, 26.0219
40, 26.3425, 25.2964
41, 25.5714, 25.2941
42, 26.6831, 26.0509
43, 26.1838, 24.8107
44, 25.6195, 25.5013
45, 26.2389, 26.8303
46, 25.4758, 24.8152
47, 25.0650, 25.3285
48, 24.7782, 24.7546
49, 25.3234, 26.1332
50, 24.9870, 25.0859
51, 25.7442, 25.7045
52, 24.8317, 23.8841
53, 24.2637, 25.2479
54, 27.3962, 24.7296
55, 24.3541, 23.6987
56, 24.2648, 23.9334
57, 24.3033, 23.3199
58, 23.7085, 24.4321
59, 24.3557, 26.7830
60, 24.3020, 24.0039
61, 23.9136, 23.9695
62, 23.9637, 23.1042
63, 23.2460, 23.2220
64, 24.9592, 23.2597
65, 23.2661, 22.6500
66, 23.0427, 22.8708
67, 23.8786, 23.0082
68, 23.2376, 22.3350
69, 23.0020, 22.5221
70, 22.8807, 22.8299
71, 22.7940, 22.3140
72, 22.6566, 23.4411
73, 22.6752, 22.7617
74, 23.2718, 22.3550
75, 24.0573, 23.7558
76, 23.1257, 21.9407
77, 22.3452, 21.8569
78, 22.3593, 21.8788
79, 22.0636, 21.8447
80, 22.7225, 22.9762
81, 23.4450, 22.6459
82, 22.6753, 21.7594
83, 22.0094, 23.0429
84, 23.0382, 22.2726
85, 23.0354, 22.1583
86, 21.6049, 21.4420
87, 21.7977, 21.4157
88, 22.5383, 21.3762
89, 21.8308, 21.8083
90, 21.5506, 21.7800
91, 22.5206, 21.7091
92, 21.4810, 21.5880
93, 22.5290, 22.1077
Test RMSE: 5.7215, MAE: 0.9048
