Epoch, Train Loss, Validation Loss
[2]1, 2700.6787, 1494.3195
[2]2, 1335.8930, 670.3102
[2]3, 951.0384, 513.5842
[2]4, 1162.1838, 437.2555
[2]5, 781.4681, 392.3666
[2]6, 767.8155, 339.4854
[2]7, 565.9561, 305.3984
[2]8, 485.9089, 271.5112
[2]9, 330.2093, 302.7799
[2]10, 358.2686, 355.6793
[2]11, 251.4320, 217.1900
[2]12, 168.3478, 212.8572
[2]13, 162.6317, 183.6905
[2]14, 162.2185, 184.2255
[2]15, 73.0773, 163.1249
[2]16, 59.9417, 183.1020
[2]17, 41.5060, 177.2625
[2]18, 70.2309, 213.6872
[2]19, 65.7639, 180.3791
[2]20, 34.7760, 173.0558
[2]21, 28.5883, 194.0531
[2]22, 23.5704, 192.4717
[2]23, 25.7255, 175.8895
[2]24, 31.3503, 195.0594
[2]25, 28.4131, 236.7506
[2]26, 40.4187, 171.7704
[2]27, 35.0093, 238.2196
[2]28, 27.7349, 160.5019
[2]29, 21.5019, 181.0649
[2]30, 20.9145, 159.2587
[2]31, 16.2133, 162.5243
[2]32, 19.1589, 168.8670
[2]33, 21.8139, 152.0940
[2]34, 18.0523, 181.0476
[2]35, 17.5258, 155.1046
[2]36, 15.1656, 155.3406
[2]37, 14.5823, 162.7431
[2]38, 11.7353, 161.0338
[2]39, 11.4534, 159.4843
[2]40, 12.0165, 155.8061
[2]41, 11.9221, 166.6640
[2]42, 13.2746, 153.3153
[2]43, 11.8064, 149.2211
[2]44, 11.9316, 159.4349
[2]45, 12.1327, 158.7685
[2]46, 10.6631, 154.0019
[2]47, 11.0254, 158.8827
[2]48, 10.9666, 153.7435
[2]49, 10.9708, 159.7149
[2]50, 10.7078, 153.4431
[2]51, 10.5179, 159.7834
[2]52, 9.8975, 167.0206
[2]53, 10.5261, 158.4136
[2]54, 10.9872, 163.4409
[2]55, 10.6851, 164.1360
[2]56, 10.4263, 158.1854
[2]57, 9.9351, 161.4142
[2]58, 9.8617, 165.9536
[2]59, 12.0211, 160.2975
[2]60, 10.3910, 156.1080
[2]61, 10.5858, 157.2829
[2]62, 9.9849, 158.1199
[2]63, 10.1017, 162.1942
