Lr = 0.05, Epochs = 500, Test Loss: 164.6324 RMSE: 12.6791 MAE: 2.3835 MAPE: 0.7895 -Time: 0.0505s
Lr = 0.04, Epochs = 500, Test Loss: 76.6517 RMSE: 8.6046 MAE: 1.9644 MAPE: 1.1588 -Time: 0.0642s
Lr = 0.02, Epochs = 500, Test Loss: 68.3291 RMSE: 8.1204 MAE: 1.7350 MAPE: 1.0431 -Time: 0.0650s
Lr = 0.01, Epochs = 500, Test Loss: 50.2891 RMSE: 6.9926 MAE: 1.4445 MAPE: 1.0078 -Time: 0.0721s
Lr = 0.005, Epochs = 500, Test Loss: 47.9454 RMSE: 6.8251 MAE: 1.2302 MAPE: 0.9084 -Time: 0.0717s
Lr = 0.004, Epochs = 500, Test Loss: 48.9152 RMSE: 6.9217 MAE: 1.3069 MAPE: 0.9196 -Time: 0.0722s
Lr = 0.02, Epochs = 500, Test Loss: 41.5066 RMSE: 6.2583 MAE: 1.1632 MAPE: 0.9498 -Time: 0.0444s
Lr = 0.005, Epochs = 500, Test Loss: 47.9454 RMSE: 6.8251 MAE: 1.2302 MAPE: 0.9084 -Time: 0.0718s
Lr = 0.02, Epochs = 500, Test Loss: 41.5066 RMSE: 6.2583 MAE: 1.1632 MAPE: 0.9498 -Time: 0.0391s
Lr = 0.02, Epochs = 500, Test Loss: 41.5066 RMSE: 6.2583 MAE: 1.1632 MAPE: 0.9498 -Time: 0.0495s
Lr = 0.02, Epochs = 500, Test Loss: 41.5066 RMSE: 6.2583 MAE: 1.1632 MAPE: 0.9498 -Time: 1.6827s
Lr = 0.005, Epochs = 500, Test Loss: 47.9454 RMSE: 6.8251 MAE: 1.2302 MAPE: 0.9084 -Time: 1.5196s
Lr = 0.005, Epochs = 500, Test Loss: 41.5066 RMSE: 6.2583 MAE: 1.1632 MAPE: 0.9498 -Time: 2.2742s
Lr = 0.005, Epochs = 500, Test Loss: 47.9454 RMSE: 6.8251 MAE: 1.2302 MAPE: 0.9084 -Time: 1.9163s
Lr = 0.005, Epochs = 500, Test Loss: 47.9454 RMSE: 6.8251 MAE: 1.2302 MAPE: 0.9084 -Time: 1.9053s
Lr = 0.005, Epochs = 500, Test Loss: 41.5066 RMSE: 6.2583 MAE: 1.1632 MAPE: 0.9498 -Time: 2.2459s
Lr = 0.005, Epochs = 500, Test Loss: 47.9454 RMSE: 6.8251 MAE: 1.2302 MAPE: 0.9084 -Time: 0.1244s
Lr = 0.005, Epochs = 500, Test Loss: 47.9454 RMSE: 6.8251 MAE: 1.2302 MAPE: 0.9084 -Time: 1.4328s
Lr = 0.005, Epochs = 500, Test Loss: 41.5066 RMSE: 6.2583 MAE: 1.1632 MAPE: 0.9498 -Time: 0.5789s
