Lr = 0.05, Epochs = 300, Test Loss: 45.8340 RMSE: 6.6251 MAE: 1.2558 MAPE: 0.9355
Lr = 0.04, Epochs = 300, Test Loss: 44.9946 RMSE: 6.5479 MAE: 1.2526 MAPE: 1.0084
Lr = 0.02, Epochs = 300, Test Loss: 41.5066 RMSE: 6.2583 MAE: 1.1632 MAPE: 0.9498
Lr = 0.01, Epochs = 300, Test Loss: 46.2497 RMSE: 6.6887 MAE: 1.2657 MAPE: 0.9818
Lr = 0.005, Epochs = 300, Test Loss: 41.6236 RMSE: 6.2789 MAE: 1.1651 MAPE: 0.9431
Lr = 0.004, Epochs = 300, Test Loss: 42.3558 RMSE: 6.3247 MAE: 1.2437 MAPE: 0.9580
Lr = 0.002, Epochs = 300, Test Loss: 41.8979 RMSE: 6.3015 MAE: 1.1947 MAPE: 0.9279
Lr = 0.001, Epochs = 300, Test Loss: 44.2525 RMSE: 6.5079 MAE: 1.2669 MAPE: 0.9470
Lr = 0.045, Epochs = 300, Test Loss: 43.1212 RMSE: 6.4151 MAE: 1.2072 MAPE: 0.9490
Lr = 0.035, Epochs = 300, Test Loss: 45.0815 RMSE: 6.5334 MAE: 1.2162 MAPE: 0.9552
Lr = 0.025, Epochs = 300, Test Loss: 47.8290 RMSE: 6.8243 MAE: 1.2683 MAPE: 0.9862
Lr = 0.015, Epochs = 300, Test Loss: 42.7860 RMSE: 6.3484 MAE: 1.2601 MAPE: 0.9990
Lr = 0.0045, Epochs = 300, Test Loss: 44.0026 RMSE: 6.4861 MAE: 1.2237 MAPE: 0.9424
Lr = 0.0035, Epochs = 300, Test Loss: 42.1937 RMSE: 6.3213 MAE: 1.2099 MAPE: 0.9797
Lr = 0.0025, Epochs = 300, Test Loss: 47.0194 RMSE: 6.7451 MAE: 1.2745 MAPE: 0.9807
Lr = 0.0015, Epochs = 300, Test Loss: 43.9432 RMSE: 6.5010 MAE: 1.2557 MAPE: 0.9768
