Lr = 0.05, Epochs = 300, Test Loss: 43.3934 RMSE: 6.4564 MAE: 1.3662 MAPE: 0.9674
Lr = 0.04, Epochs = 300, Test Loss: 42.0335 RMSE: 6.3598 MAE: 1.3521 MAPE: 1.0091
Lr = 0.02, Epochs = 300, Test Loss: 45.1202 RMSE: 6.5649 MAE: 1.4226 MAPE: 1.0577
Lr = 0.01, Epochs = 300, Test Loss: 49.6045 RMSE: 6.8950 MAE: 1.5694 MAPE: 1.0673
Lr = 0.005, Epochs = 300, Test Loss: 51.9011 RMSE: 7.0136 MAE: 1.4244 MAPE: 0.9985
Lr = 0.004, Epochs = 300, Test Loss: 48.6633 RMSE: 6.7940 MAE: 1.3941 MAPE: 1.0084
Lr = 0.002, Epochs = 300, Test Loss: 57.9235 RMSE: 7.3493 MAE: 1.5193 MAPE: 1.0500
Lr = 0.001, Epochs = 300, Test Loss: 77.8798 RMSE: 8.5937 MAE: 1.6231 MAPE: 1.0758
Lr = 0.0005, Epochs = 300, Test Loss: 115.5173 RMSE: 10.5693 MAE: 1.8736 MAPE: 1.1005
Lr = 0.0004, Epochs = 300, Test Loss: 125.1195 RMSE: 11.0133 MAE: 1.9955 MAPE: 1.2480
Lr = 0.0002, Epochs = 300, Test Loss: 144.7867 RMSE: 11.8856 MAE: 2.2631 MAPE: 1.4633
Lr = 0.0001, Epochs = 300, Test Loss: 156.4892 RMSE: 12.3770 MAE: 2.4783 MAPE: 1.1683
Lr = 0.04, Epochs = 500, Test Loss: 42.0335 RMSE: 6.3598 MAE: 1.3521 MAPE: 1.0091 -Time: 2.9419s
Lr = 0.04, Epochs = 500, Test Loss: 42.0335 RMSE: 6.3598 MAE: 1.3521 MAPE: 1.0091 -Time: 0.0563s
Lr = 0.04, Epochs = 500, Test Loss: 42.0335 RMSE: 6.3598 MAE: 1.3521 MAPE: 1.0091 -Time: 0.0551s
