Epoch, Train Loss, Validation Loss
1, 176.5036, 220.8905
2, 160.2705, 220.8618
3, 153.4696, 220.8335
4, 176.8680, 220.8038
5, 168.0491, 220.7718
6, 185.6390, 220.7375
7, 142.2738, 220.7002
8, 160.6656, 220.6606
9, 182.2182, 220.6161
10, 165.3848, 220.5653
11, 179.8179, 220.5088
12, 182.2605, 220.4446
13, 187.7502, 220.3719
14, 207.8970, 220.2896
15, 204.1555, 220.1957
16, 168.4665, 220.0902
17, 185.7789, 219.9732
18, 197.9662, 219.8390
19, 146.1987, 219.6884
20, 154.2378, 219.5278
21, 160.5158, 219.3501
22, 201.9342, 219.1483
23, 184.2655, 218.9173
24, 191.2434, 218.6590
25, 150.0074, 218.3750
26, 149.8014, 218.0746
27, 175.0497, 217.7559
28, 167.3759, 217.4039
29, 182.9809, 217.0165
30, 180.1407, 216.5801
31, 205.3859, 216.1011
32, 171.4186, 215.5833
33, 160.0600, 215.0344
34, 187.7020, 214.4511
35, 190.9898, 213.8238
36, 162.8360, 213.1507
37, 133.3234, 212.4611
38, 142.8829, 211.7781
39, 174.1608, 211.0615
40, 233.7925, 210.2697
41, 173.7717, 209.4006
42, 167.1964, 208.4871
43, 159.4939, 207.5411
44, 177.3517, 206.5539
45, 175.9891, 205.5123
46, 157.0300, 204.4345
47, 179.8902, 203.3230
48, 179.4297, 202.1602
49, 146.0994, 200.9494
50, 141.8621, 199.7638
51, 188.7536, 198.5660
52, 136.8834, 197.3012
53, 148.3595, 196.0572
54, 146.5974, 194.7766
55, 130.4698, 193.4807
56, 136.5788, 192.2048
57, 155.6265, 190.8934
58, 161.4019, 189.4839
59, 193.4796, 187.9841
60, 168.4535, 186.4183
61, 157.0987, 184.8483
62, 151.9387, 183.3004
63, 145.5875, 181.7695
64, 142.5847, 180.2068
65, 155.4999, 178.6358
66, 131.9742, 177.0416
67, 124.2078, 175.5083
68, 130.2342, 174.0324
69, 128.0928, 172.5834
70, 122.9165, 171.1426
71, 132.2149, 169.7071
72, 153.4181, 168.2280
73, 133.3501, 166.6107
74, 128.7449, 164.9901
75, 125.7002, 163.3823
76, 135.5131, 161.8187
77, 163.1556, 160.2515
78, 126.6423, 158.6206
79, 127.2213, 157.0254
80, 124.2289, 155.4414
81, 140.9171, 153.8957
82, 120.7856, 152.2987
83, 123.5545, 150.7356
84, 128.1863, 149.1698
85, 149.3117, 147.5958
86, 134.5063, 145.9329
87, 123.1819, 144.2918
88, 120.3375, 142.7677
89, 134.6395, 141.2729
90, 112.8708, 139.7176
91, 121.7475, 138.2476
92, 133.0022, 136.7548
93, 108.0501, 135.2576
94, 120.0047, 133.9050
95, 121.3268, 132.5275
96, 112.4864, 131.1641
97, 102.6576, 129.9444
98, 109.3147, 128.7846
99, 111.6425, 127.6358
100, 99.6050, 126.4250
101, 103.2377, 125.2589
102, 114.6657, 124.1382
103, 105.6963, 123.0034
104, 111.5364, 121.7975
105, 96.5342, 120.6338
106, 101.0236, 119.5923
107, 112.0724, 118.5208
108, 94.8617, 117.4354
109, 88.1981, 116.4406
110, 94.3945, 115.4788
111, 101.7426, 114.5286
112, 93.4910, 113.5954
113, 92.9016, 112.6963
114, 105.2824, 111.7616
115, 89.7286, 110.7726
116, 95.6282, 109.8602
117, 102.2623, 108.8649
118, 83.9462, 107.9711
119, 101.0201, 107.1549
120, 86.7275, 106.2925
121, 92.1116, 105.5220
122, 89.5308, 104.7381
123, 116.6563, 103.9136
124, 108.4651, 102.8780
125, 90.6526, 101.7605
126, 96.5315, 100.7325
127, 89.2266, 99.7452
128, 96.2195, 98.8020
129, 85.9909, 97.8984
130, 98.1061, 97.0830
131, 79.6394, 96.2596
132, 98.1659, 95.5042
133, 81.3637, 94.6960
134, 85.8519, 94.0092
135, 86.5408, 93.3278
136, 80.7462, 92.6487
137, 76.6271, 92.1192
138, 78.2301, 91.7653
139, 91.1336, 91.4498
140, 93.5819, 91.0140
141, 91.5978, 90.3402
142, 92.7640, 89.6502
143, 80.4259, 88.9585
144, 79.7415, 88.2932
145, 90.0425, 87.7463
146, 84.5981, 87.1161
147, 90.3002, 86.4248
148, 86.3891, 85.7211
149, 78.9442, 85.0698
150, 84.2105, 84.5547
151, 76.6143, 84.0908
152, 77.3998, 83.6757
153, 74.6165, 83.2976
154, 79.3308, 83.0176
155, 73.5356, 82.6483
156, 79.4157, 82.2860
157, 73.3505, 81.8123
158, 88.7184, 81.4181
159, 80.8468, 80.8190
160, 84.4513, 80.2326
161, 87.6197, 79.6360
162, 81.0500, 79.0811
163, 83.0719, 78.5823
164, 78.8786, 78.0646
165, 71.2419, 77.7441
166, 72.5504, 77.4627
167, 72.1884, 77.2637
168, 76.0215, 77.1883
169, 69.2977, 77.1341
170, 83.1635, 77.0161
171, 74.7127, 76.7899
172, 75.7341, 76.5606
173, 70.7816, 76.4754
174, 73.3051, 76.3949
175, 83.0030, 76.2928
176, 71.5274, 76.2016
177, 69.2391, 76.0234
178, 80.4900, 75.8467
179, 70.3366, 75.7894
180, 69.7277, 75.8150
181, 70.1828, 75.7312
182, 70.4321, 75.6171
183, 69.8286, 75.5656
184, 85.1655, 75.5167
185, 79.0597, 75.3010
186, 81.5439, 74.9043
187, 68.2048, 74.5384
188, 71.9704, 74.1282
189, 78.3080, 73.6861
190, 70.8519, 73.3167
191, 84.5039, 72.8847
192, 77.2371, 72.4650
193, 70.4444, 72.0627
194, 72.2785, 71.8153
195, 81.7974, 71.7140
196, 82.9388, 71.5484
197, 70.2675, 71.3364
198, 75.4156, 71.2246
199, 68.3692, 71.0554
200, 70.0118, 70.8797
201, 68.5696, 70.7745
202, 76.5715, 70.6715
203, 73.7044, 70.4850
204, 67.7119, 70.2904
205, 70.6705, 70.1097
206, 63.2601, 69.9585
207, 76.9512, 69.8856
208, 77.6242, 69.8070
209, 76.4895, 69.6701
210, 74.0399, 69.4273
211, 66.7835, 69.1508
212, 69.1663, 68.9750
213, 68.3187, 68.9791
214, 68.2582, 69.0806
215, 74.2642, 69.0884
216, 80.0665, 69.1699
217, 68.3119, 69.2981
218, 70.2014, 69.4392
219, 66.3109, 69.7138
220, 78.9965, 69.7361
221, 67.3090, 69.5370
222, 67.3532, 69.5016
Test RMSE: 7.4568, MAE: 1.0871
