Epoch, Train Loss, Validation Loss
1, 183.0481, 199.7084
2, 142.6590, 172.2408
3, 122.7169, 137.2951
4, 105.1037, 91.0963
5, 83.4070, 97.5162
6, 86.8183, 74.4173
7, 69.1162, 125.6245
8, 91.3658, 67.9792
9, 73.1099, 66.7609
10, 76.1944, 69.3387
11, 65.9383, 55.3097
12, 74.7270, 74.6347
13, 70.2420, 52.9288
14, 82.0456, 56.6290
15, 76.7925, 51.7680
16, 67.4633, 79.0836
17, 65.0490, 49.9410
18, 78.8548, 59.0924
19, 64.9330, 98.5908
20, 81.5558, 60.3216
21, 69.6795, 69.7545
22, 90.2987, 71.0780
23, 75.3365, 50.7689
24, 76.6351, 62.3776
25, 62.9366, 96.5407
26, 71.9926, 58.8227
27, 65.1311, 54.2494
28, 63.5530, 55.5241
29, 57.9410, 49.0121
30, 60.8946, 64.3474
31, 78.9261, 45.0577
32, 67.8764, 92.9584
33, 64.9611, 45.1304
34, 67.3117, 59.7323
35, 66.0665, 46.1810
36, 59.2570, 81.1367
37, 61.8538, 50.4486
38, 50.6410, 79.5469
39, 73.2608, 44.9187
40, 107.5676, 52.1588
41, 62.7769, 46.1600
42, 56.9858, 72.0774
43, 57.0409, 47.9982
44, 61.6867, 52.0141
45, 58.4505, 50.0223
46, 50.3796, 53.0383
47, 65.6669, 41.5643
48, 67.4511, 52.7001
49, 54.9986, 67.0427
50, 55.4589, 42.2211
51, 60.5399, 58.7055
52, 59.8589, 103.1695
53, 69.2640, 41.3579
54, 55.9400, 68.3160
55, 61.1516, 93.8261
56, 71.9748, 46.0373
57, 55.7426, 54.9942
58, 58.9913, 60.9705
59, 97.6727, 61.5697
60, 64.7631, 44.8797
61, 63.0141, 59.6966
62, 61.6275, 56.5088
63, 56.2533, 54.6046
64, 53.8306, 49.9718
65, 52.2100, 49.6839
66, 47.1178, 77.5112
67, 61.8023, 40.6750
68, 49.3037, 62.8591
69, 46.7997, 38.6898
70, 49.7876, 74.8952
71, 54.5640, 45.0642
72, 51.6973, 37.7897
73, 54.3184, 73.1345
74, 57.2236, 40.8317
75, 47.8610, 54.4415
76, 53.3993, 41.1489
77, 68.4076, 38.6619
78, 60.0567, 87.9064
79, 55.6854, 40.7111
80, 64.3086, 89.1629
81, 66.8045, 44.8341
82, 56.1906, 75.8990
83, 57.8683, 41.2751
84, 59.6174, 56.7929
85, 70.6469, 41.5243
86, 66.0771, 52.6955
87, 57.1645, 44.8511
88, 52.3065, 42.2971
89, 58.3878, 41.5462
90, 49.7740, 60.3779
91, 51.7779, 41.9065
92, 65.2959, 53.7456
Test RMSE: 7.0000, MAE: 1.2847
